persona,persona_dimension_list,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score
"highly open to experience, conscientious, extroverted, antagonistic and neurotic","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",44,25,49,10,48
"slightly open to experience, conscientious, extroverted, antagonistic and neurotic","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",48,23,46,10,41
"open to experience, highly conscientious, extroverted, antagonistic and neurotic","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'neurotic']",50,24,44,12,49
"open to experience, slightly conscientious, extroverted, antagonistic and neurotic","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'neurotic']",48,23,26,11,47
"open to experience, conscientious, highly extroverted, antagonistic and neurotic","['open to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'neurotic']",50,26,48,8,48
"open to experience, conscientious, slightly extroverted, antagonistic and neurotic","['open to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",39,24,43,11,47
"open to experience, conscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'neurotic']",45,20,48,12,48
"open to experience, conscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",49,38,46,14,42
"open to experience, conscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly neurotic']",47,24,47,10,47
"open to experience, conscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",43,27,46,22,48
"highly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",50,21,49,48,49
"slightly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",49,23,48,44,37
"open to experience, highly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",50,23,44,43,48
"open to experience, slightly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",48,22,31,43,46
"open to experience, conscientious, highly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",50,24,48,46,49
"open to experience, conscientious, slightly extroverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",40,22,47,41,49
"open to experience, conscientious, extroverted, highly antagonistic and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",49,19,48,47,49
"open to experience, conscientious, extroverted, slightly antagonistic and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",43,37,47,45,43
"open to experience, conscientious, extroverted, antagonistic and highly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",50,23,49,49,48
"open to experience, conscientious, extroverted, antagonistic and slightly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",47,27,46,34,46
"highly open to experience, conscientious, introverted, agreeable and neurotic","['highly open to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",15,43,44,11,48
"slightly open to experience, conscientious, introverted, agreeable and neurotic","['slightly open to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",18,36,49,12,37
"open to experience, highly conscientious, introverted, agreeable and neurotic","['open to experience', 'highly conscientious', 'introverted', 'agreeable', 'neurotic']",17,43,40,10,43
"open to experience, slightly conscientious, introverted, agreeable and neurotic","['open to experience', 'slightly conscientious', 'introverted', 'agreeable', 'neurotic']",18,40,34,10,45
"open to experience, conscientious, highly introverted, agreeable and neurotic","['open to experience', 'conscientious', 'highly introverted', 'agreeable', 'neurotic']",14,37,50,11,44
"open to experience, conscientious, slightly introverted, agreeable and neurotic","['open to experience', 'conscientious', 'slightly introverted', 'agreeable', 'neurotic']",22,43,49,14,47
"open to experience, conscientious, introverted, highly agreeable and neurotic","['open to experience', 'conscientious', 'introverted', 'highly agreeable', 'neurotic']",15,41,50,13,47
"open to experience, conscientious, introverted, slightly agreeable and neurotic","['open to experience', 'conscientious', 'introverted', 'slightly agreeable', 'neurotic']",20,36,45,15,46
"open to experience, conscientious, introverted, agreeable and highly neurotic","['open to experience', 'conscientious', 'introverted', 'agreeable', 'highly neurotic']",14,42,45,10,45
"open to experience, conscientious, introverted, agreeable and slightly neurotic","['open to experience', 'conscientious', 'introverted', 'agreeable', 'slightly neurotic']",17,40,49,28,45
"highly open to experience, conscientious, introverted, agreeable and emotionally stable","['highly open to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",17,44,49,48,49
"slightly open to experience, conscientious, introverted, agreeable and emotionally stable","['slightly open to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",18,41,48,41,38
"open to experience, highly conscientious, introverted, agreeable and emotionally stable","['open to experience', 'highly conscientious', 'introverted', 'agreeable', 'emotionally stable']",16,44,45,46,47
"open to experience, slightly conscientious, introverted, agreeable and emotionally stable","['open to experience', 'slightly conscientious', 'introverted', 'agreeable', 'emotionally stable']",21,42,32,45,46
"open to experience, conscientious, highly introverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'highly introverted', 'agreeable', 'emotionally stable']",11,41,50,49,46
"open to experience, conscientious, slightly introverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",22,44,44,45,46
"open to experience, conscientious, introverted, highly agreeable and emotionally stable","['open to experience', 'conscientious', 'introverted', 'highly agreeable', 'emotionally stable']",17,48,49,47,35
"open to experience, conscientious, introverted, slightly agreeable and emotionally stable","['open to experience', 'conscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",19,36,48,43,45
"open to experience, conscientious, introverted, agreeable and highly emotionally stable","['open to experience', 'conscientious', 'introverted', 'agreeable', 'highly emotionally stable']",16,43,49,44,47
"open to experience, conscientious, introverted, agreeable and slightly emotionally stable","['open to experience', 'conscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",16,41,49,36,44
"highly open to experience, conscientious, introverted, antagonistic and neurotic","['highly open to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",19,17,44,11,47
"slightly open to experience, conscientious, introverted, antagonistic and neurotic","['slightly open to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",19,17,49,10,33
"open to experience, highly conscientious, introverted, antagonistic and neurotic","['open to experience', 'highly conscientious', 'introverted', 'antagonistic', 'neurotic']",19,17,50,10,48
"open to experience, slightly conscientious, introverted, antagonistic and neurotic","['open to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'neurotic']",17,17,26,11,42
"open to experience, conscientious, highly introverted, antagonistic and neurotic","['open to experience', 'conscientious', 'highly introverted', 'antagonistic', 'neurotic']",13,15,42,11,44
"open to experience, conscientious, slightly introverted, antagonistic and neurotic","['open to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'neurotic']",23,19,46,10,46
"open to experience, conscientious, introverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'introverted', 'highly antagonistic', 'neurotic']",15,11,43,9,47
"open to experience, conscientious, introverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'neurotic']",20,25,47,12,47
"open to experience, conscientious, introverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'highly neurotic']",15,18,40,10,41
"open to experience, conscientious, introverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly neurotic']",16,20,47,26,45
"highly open to experience, conscientious, introverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",13,19,49,47,49
"slightly open to experience, conscientious, introverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",18,20,47,46,39
"open to experience, highly conscientious, introverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",16,17,50,46,48
"open to experience, slightly conscientious, introverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",19,18,30,43,45
"open to experience, conscientious, highly introverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'highly introverted', 'antagonistic', 'emotionally stable']",12,16,43,46,47
"open to experience, conscientious, slightly introverted, antagonistic and emotionally stable","['open to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'emotionally stable']",23,20,49,46,45
"open to experience, conscientious, introverted, highly antagonistic and emotionally stable","['open to experience', 'conscientious', 'introverted', 'highly antagonistic', 'emotionally stable']",14,12,49,44,47
"open to experience, conscientious, introverted, slightly antagonistic and emotionally stable","['open to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'emotionally stable']",20,26,49,42,47
"open to experience, conscientious, introverted, antagonistic and highly emotionally stable","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'highly emotionally stable']",17,17,44,49,48
"open to experience, conscientious, introverted, antagonistic and slightly emotionally stable","['open to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly emotionally stable']",20,18,47,34,46
"highly open to experience, unconscientious, extroverted, agreeable and neurotic","['highly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",49,43,14,10,48
"slightly open to experience, unconscientious, extroverted, agreeable and neurotic","['slightly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",46,47,16,13,39
"open to experience, highly unconscientious, extroverted, agreeable and neurotic","['open to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'neurotic']",44,45,14,11,39
"open to experience, slightly unconscientious, extroverted, agreeable and neurotic","['open to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'neurotic']",46,49,20,12,45
"open to experience, unconscientious, highly extroverted, agreeable and neurotic","['open to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'neurotic']",44,49,16,12,43
"open to experience, unconscientious, slightly extroverted, agreeable and neurotic","['open to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'neurotic']",39,44,16,10,45
"open to experience, unconscientious, extroverted, highly agreeable and neurotic","['open to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'neurotic']",47,50,14,11,46
"open to experience, unconscientious, extroverted, slightly agreeable and neurotic","['open to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'neurotic']",45,40,18,14,46
"open to experience, unconscientious, extroverted, agreeable and highly neurotic","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly neurotic']",48,45,16,9,46
"open to experience, unconscientious, extroverted, agreeable and slightly neurotic","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly neurotic']",45,48,17,25,45
"highly open to experience, unconscientious, extroverted, agreeable and emotionally stable","['highly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",48,49,15,46,47
"slightly open to experience, unconscientious, extroverted, agreeable and emotionally stable","['slightly open to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",47,47,18,44,37
"open to experience, highly unconscientious, extroverted, agreeable and emotionally stable","['open to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",49,45,12,50,45
"open to experience, slightly unconscientious, extroverted, agreeable and emotionally stable","['open to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",47,48,22,46,46
"open to experience, unconscientious, highly extroverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",49,43,16,48,46
"open to experience, unconscientious, slightly extroverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",38,46,17,45,46
"open to experience, unconscientious, extroverted, highly agreeable and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",45,50,15,43,47
"open to experience, unconscientious, extroverted, slightly agreeable and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",42,40,20,41,46
"open to experience, unconscientious, extroverted, agreeable and highly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly emotionally stable']",48,49,15,50,46
"open to experience, unconscientious, extroverted, agreeable and slightly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly emotionally stable']",48,45,17,36,45
"highly open to experience, unconscientious, extroverted, antagonistic and neurotic","['highly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",44,22,15,10,40
"slightly open to experience, unconscientious, extroverted, antagonistic and neurotic","['slightly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",49,20,13,11,38
"open to experience, highly unconscientious, extroverted, antagonistic and neurotic","['open to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",44,20,10,7,37
"open to experience, slightly unconscientious, extroverted, antagonistic and neurotic","['open to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",50,24,20,10,41
"open to experience, unconscientious, highly extroverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'neurotic']",48,23,13,11,46
"open to experience, unconscientious, slightly extroverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",41,21,16,12,41
"open to experience, unconscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'neurotic']",44,19,12,10,47
"open to experience, unconscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",44,30,16,11,43
"open to experience, unconscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly neurotic']",49,25,15,11,45
"open to experience, unconscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",44,22,16,24,43
"highly open to experience, unconscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",49,22,13,42,46
"slightly open to experience, unconscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",50,22,16,43,38
"open to experience, highly unconscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",50,22,12,46,44
"open to experience, slightly unconscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",43,23,20,45,47
"open to experience, unconscientious, highly extroverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",45,22,16,42,46
"open to experience, unconscientious, slightly extroverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",39,21,15,43,42
"open to experience, unconscientious, extroverted, highly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",50,16,13,46,45
"open to experience, unconscientious, extroverted, slightly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",48,30,17,45,44
"open to experience, unconscientious, extroverted, antagonistic and highly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",49,24,14,44,47
"open to experience, unconscientious, extroverted, antagonistic and slightly emotionally stable","['open to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",48,20,14,36,46
"highly open to experience, unconscientious, introverted, agreeable and neurotic","['highly open to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",16,42,16,10,40
"slightly open to experience, unconscientious, introverted, agreeable and neurotic","['slightly open to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",17,43,17,10,35
"open to experience, highly unconscientious, introverted, agreeable and neurotic","['open to experience', 'highly unconscientious', 'introverted', 'agreeable', 'neurotic']",16,42,12,11,43
"open to experience, slightly unconscientious, introverted, agreeable and neurotic","['open to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'neurotic']",14,44,20,12,46
"open to experience, unconscientious, highly introverted, agreeable and neurotic","['open to experience', 'unconscientious', 'highly introverted', 'agreeable', 'neurotic']",12,37,16,10,45
"open to experience, unconscientious, slightly introverted, agreeable and neurotic","['open to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'neurotic']",22,43,18,11,43
"open to experience, unconscientious, introverted, highly agreeable and neurotic","['open to experience', 'unconscientious', 'introverted', 'highly agreeable', 'neurotic']",17,41,17,11,42
"open to experience, unconscientious, introverted, slightly agreeable and neurotic","['open to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'neurotic']",20,32,18,12,43
"open to experience, unconscientious, introverted, agreeable and highly neurotic","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'highly neurotic']",15,42,18,11,40
"open to experience, unconscientious, introverted, agreeable and slightly neurotic","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly neurotic']",17,42,17,22,42
"highly open to experience, unconscientious, introverted, agreeable and emotionally stable","['highly open to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",17,43,16,48,47
"slightly open to experience, unconscientious, introverted, agreeable and emotionally stable","['slightly open to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",18,42,18,48,37
"open to experience, highly unconscientious, introverted, agreeable and emotionally stable","['open to experience', 'highly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",17,42,14,49,44
"open to experience, slightly unconscientious, introverted, agreeable and emotionally stable","['open to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",17,41,23,44,43
"open to experience, unconscientious, highly introverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'highly introverted', 'agreeable', 'emotionally stable']",12,39,16,46,47
"open to experience, unconscientious, slightly introverted, agreeable and emotionally stable","['open to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",22,43,19,45,45
"open to experience, unconscientious, introverted, highly agreeable and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'highly agreeable', 'emotionally stable']",16,47,17,47,43
"open to experience, unconscientious, introverted, slightly agreeable and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",19,30,19,43,43
"open to experience, unconscientious, introverted, agreeable and highly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'highly emotionally stable']",16,42,18,48,44
"open to experience, unconscientious, introverted, agreeable and slightly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",19,38,18,28,44
"highly open to experience, unconscientious, introverted, antagonistic and neurotic","['highly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",18,13,13,8,45
"slightly open to experience, unconscientious, introverted, antagonistic and neurotic","['slightly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",15,16,15,10,35
"open to experience, highly unconscientious, introverted, antagonistic and neurotic","['open to experience', 'highly unconscientious', 'introverted', 'antagonistic', 'neurotic']",17,14,11,11,42
"open to experience, slightly unconscientious, introverted, antagonistic and neurotic","['open to experience', 'slightly unconscientious', 'introverted', 'antagonistic', 'neurotic']",18,18,20,11,43
"open to experience, unconscientious, highly introverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'highly introverted', 'antagonistic', 'neurotic']",13,13,13,9,42
"open to experience, unconscientious, slightly introverted, antagonistic and neurotic","['open to experience', 'unconscientious', 'slightly introverted', 'antagonistic', 'neurotic']",22,18,17,12,44
"open to experience, unconscientious, introverted, highly antagonistic and neurotic","['open to experience', 'unconscientious', 'introverted', 'highly antagonistic', 'neurotic']",17,11,14,8,44
"open to experience, unconscientious, introverted, slightly antagonistic and neurotic","['open to experience', 'unconscientious', 'introverted', 'slightly antagonistic', 'neurotic']",19,20,17,12,41
"open to experience, unconscientious, introverted, antagonistic and highly neurotic","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'highly neurotic']",16,15,15,8,40
"open to experience, unconscientious, introverted, antagonistic and slightly neurotic","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'slightly neurotic']",17,18,16,17,41
"highly open to experience, unconscientious, introverted, antagonistic and emotionally stable","['highly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",14,14,16,47,48
"slightly open to experience, unconscientious, introverted, antagonistic and emotionally stable","['slightly open to experience', 'unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",18,17,17,47,33
"open to experience, highly unconscientious, introverted, antagonistic and emotionally stable","['open to experience', 'highly unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",18,15,12,48,47
"open to experience, slightly unconscientious, introverted, antagonistic and emotionally stable","['open to experience', 'slightly unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",19,15,20,44,45
"open to experience, unconscientious, highly introverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'highly introverted', 'antagonistic', 'emotionally stable']",12,12,15,44,47
"open to experience, unconscientious, slightly introverted, antagonistic and emotionally stable","['open to experience', 'unconscientious', 'slightly introverted', 'antagonistic', 'emotionally stable']",24,17,16,45,41
"open to experience, unconscientious, introverted, highly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'highly antagonistic', 'emotionally stable']",16,12,12,46,46
"open to experience, unconscientious, introverted, slightly antagonistic and emotionally stable","['open to experience', 'unconscientious', 'introverted', 'slightly antagonistic', 'emotionally stable']",16,21,15,45,46
"open to experience, unconscientious, introverted, antagonistic and highly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'highly emotionally stable']",19,14,14,49,46
"open to experience, unconscientious, introverted, antagonistic and slightly emotionally stable","['open to experience', 'unconscientious', 'introverted', 'antagonistic', 'slightly emotionally stable']",19,17,14,32,45
"highly closed to experience, conscientious, extroverted, agreeable and neurotic","['highly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",48,48,50,12,19
"slightly closed to experience, conscientious, extroverted, agreeable and neurotic","['slightly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",45,47,48,14,26
"closed to experience, highly conscientious, extroverted, agreeable and neurotic","['closed to experience', 'highly conscientious', 'extroverted', 'agreeable', 'neurotic']",47,50,45,11,17
"closed to experience, slightly conscientious, extroverted, agreeable and neurotic","['closed to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'neurotic']",45,47,34,11,19
"closed to experience, conscientious, highly extroverted, agreeable and neurotic","['closed to experience', 'conscientious', 'highly extroverted', 'agreeable', 'neurotic']",49,50,49,11,17
"closed to experience, conscientious, slightly extroverted, agreeable and neurotic","['closed to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'neurotic']",32,43,48,12,21
"closed to experience, conscientious, extroverted, highly agreeable and neurotic","['closed to experience', 'conscientious', 'extroverted', 'highly agreeable', 'neurotic']",48,50,49,10,20
"closed to experience, conscientious, extroverted, slightly agreeable and neurotic","['closed to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'neurotic']",42,39,50,12,20
"closed to experience, conscientious, extroverted, agreeable and highly neurotic","['closed to experience', 'conscientious', 'extroverted', 'agreeable', 'highly neurotic']",43,49,50,10,23
"closed to experience, conscientious, extroverted, agreeable and slightly neurotic","['closed to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly neurotic']",49,42,48,33,23
"highly closed to experience, conscientious, extroverted, agreeable and emotionally stable","['highly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",46,48,50,50,21
"slightly closed to experience, conscientious, extroverted, agreeable and emotionally stable","['slightly closed to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",45,45,50,44,24
"closed to experience, highly conscientious, extroverted, agreeable and emotionally stable","['closed to experience', 'highly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",47,48,45,49,17
"closed to experience, slightly conscientious, extroverted, agreeable and emotionally stable","['closed to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",45,46,34,48,19
"closed to experience, conscientious, highly extroverted, agreeable and emotionally stable","['closed to experience', 'conscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",48,47,50,49,19
